key_resp.corr	key_resp.rt	seqRT	ranRT
1	0.8549008		
1	0.8266083		
1	0.8468589		
1	0.833007		
1	0.7552442		
1	0.8943374		
1	0.6560121		
1	0.4628436		
1	0.9497933		
1	0.5653561		
1	0.8738441		
1	0.5800607		
1	0.6445883		
1	0.6146486		
1	0.7659887		
1	0.5533755		
1	0.9741484		
1	1.0065331		
1	0.7517387		
1	0.7761934		
1	0.7814664		
1	0.6916204		
1	0.7016204		
1	0.8108996		
1	0.7012891		
1	0.9913601		
1	0.705218		
1	0.7572315		
1	1.2030514		
1	0.7606563		
1	0.7551523		
1	1.2628842		
1	0.9267619		
1	0.7496813		
1	0.8710137		
1	0.4346594		
1	0.9399971		
1	1.0228955		
1	0.8626111		
1	0.690147		
1	0.7965443		
1	0.7323822		
1	0.5409039		
1	0.3840188		
1	0.8077033		
1	0.8852655		
1	0.702757		
1	0.587066		
1	0.7513174		
1	0.8208922		
1	0.6390872		
1	0.8207805		
1	0.7503003		
1	0.6673934		
1	0.6713059		
1	0.7375268		
1	0.7279181		
1	0.7600309		
1	0.7750731		
1	1.0162902		
1	0.6493136		
1	1.0262341		
1	1.0290813		
1	0.8503858		
1	0.7688123		
1	0.6804768		
1	0.7419271		
1	0.5812555		
1	1.0354312		
1	0.685747		
1	0.9173582		
1	0.6089545		
1	0.6858382		
1	0.6364894		
1	0.8812505		
1	0.5884792		
1	0.9783933		
1	0.4786247		
1	0.9359076		
1	0.490952		
1	0.8559015		
1	1.0998398		
1	0.32365		
1	0.7337369		
1	0.6049905		
1	0.8091104		
1	0.4608554		
1	0.5413703		
1	0.6074157		
1	0.6929678		
1	0.7550522		
1	0.7604251		
1	0.5088085		
1	0.92871		
1	0.7278339		
1	0.8873254		
1	0.6809712		
1	0.7747436		
1	0.6668691		
1	0.6654415		
1	0.8338532		
1	0.8605963		
1	1.002176		
1	0.8985999		
