trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.22258349999992788,,0.029593999999633525,10,0.22258349999992788,0.22258349999992788,0.12277530000028491,1.2543598999995993,2.80354269999998,[-0.1640625],[-0.20963541666666666],[1],[0],[0],[2.684769299999971],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
1,0,1,0,3.188334699999814,,2.8133286999996017,10,3.188334699999814,3.188334699999814,0.3478500000001077,4.2210229999996045,4.68955939999978,[0.10416666666666667],[0.052083333333333336],[1],[0],[0],[1.5290795000000799],[],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
2,0,2,0,4.788368999999875,,4.6967179999996915,10,4.788368999999875,4.788368999999875,0.05080499999985477,5.821057399999972,7.189984599999661,[0.20572916666666666],[-0.43359375],[1],[0],[0],[2.443061999999827],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
3,0,3,0,7.271031799999946,,7.195559299999786,10,7.271031799999946,7.271031799999946,0.046492400000261114,8.304161399999884,8.539415599999757,[-0.17708333333333334],[0.21354166666666666],[1],[0],[0],[1.2979424999998628],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
4,0,4,0,8.63819889999968,,8.547104299999774,10,8.63819889999968,8.63819889999968,0.06238099999973201,9.671046499999647,10.505975899999612,[0.09895833333333333],[-0.046875],[1],[0],[0],[1.897551300000032],[],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
5,0,5,0,10.553970399999798,,10.51166559999956,5,10.553970399999798,10.553970399999798,0.025284599999849888,11.570880599999782,12.373149499999727,[0.4765625],[0.22005208333333334],[1],[0],[0],[1.836810499999956],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
6,0,6,0,12.471492399999988,,12.379162899999756,10,12.471492399999988,12.471492399999988,0.05482189999975162,13.504204999999729,14.305236899999727,[-0.4713541666666667],[-0.0703125],[1],[0],[0],[1.8721001999997497],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
7,0,7,0,14.354920399999628,,14.31075439999995,5,14.354920399999628,14.354920399999628,0.02440649999971356,15.370544599999903,15.788876799999798,[0.0546875],[-0.10546875],[1],[0],[0],[1.4542731999999887],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
8,0,8,0,15.870782499999677,,15.794609099999889,10,15.870782499999677,15.870782499999677,0.051078599999982544,16.903892899999846,17.938659599999937,[0.4036458333333333],[0.30078125],[1],[0],[0],[2.093699999999899],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
9,0,9,0,18.0212161999998,,17.944192399999793,10,18.0212161999998,18.0212161999998,0.04961929999990389,19.053764499999943,19.955820899999708,[0.16536458333333334],[-0.20833333333333334],[1],[0],[0],[1.9626630000002478],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
10,0,10,0,20.00387079999973,,19.960111399999732,5,20.00387079999973,20.00387079999973,0.01996289999988221,21.02046889999974,21.556225899999845,[-0.2890625],[0.3203125],[1],[0],[0],[1.5763417000002846],['target'],237628,001,2024-10-04_11h54.56.695,visual search task,2024.1.5,None,2024-10-04 11h55.07.104005 +0530,
