trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.08710010000004331,,0.014175499999964813,5,0.08710010000004331,0.08710010000004331,0.049538299999994706,1.1044156000000385,2.730057600000009,[0.3307291666666667],[-0.3997395833333333],[1],[0],[0],[2.6797061000000895],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
1,0,1,0,2.887048899999968,,2.7452213000000256,5,2.887048899999968,2.887048899999968,0.12268299999993815,3.9210229000000254,5.2410151999999925,[0.4505208333333333],[-0.07421875],[1],[0],[0],[2.374669400000016],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
2,0,2,0,5.320361400000024,,5.251323100000036,10,5.320361400000024,5.320361400000024,0.043838700000037534,6.322104500000023,7.60617179999997,[0.4791666666666667],[0.4270833333333333],[1],[0],[0],[2.3127850000000763],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
3,0,3,0,7.686951499999964,,7.618651600000021,10,7.686951499999964,7.686951499999964,0.04839110000000346,8.72071840000001,9.239279499999952,[-0.09114583333333333],[0.11848958333333333],[1],[0],[0],[1.57432330000006],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
4,0,4,0,9.303702000000044,,9.247069399999987,10,9.303702000000044,9.303702000000044,0.040981399999964196,10.321388400000046,11.073558100000014,[-0.20963541666666666],[-0.4427083333333333],[1],[0],[0],[1.7862514999999348],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
5,0,5,0,11.153579899999954,,11.083758200000034,10,11.153579899999954,11.153579899999954,0.042552999999998065,12.203622900000028,12.524046399999975,[-0.12369791666666667],[-0.3385416666666667],[1],[0],[0],[1.3990307000000257],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
6,0,6,0,12.636995100000036,,12.535752200000047,10,12.636995100000036,12.636995100000036,0.06095519999996668,13.67040350000002,13.740606500000013,[-0.05859375],[-0.16015625],[1],[0],[0],[1.1452489000000696],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
7,0,7,0,13.786790399999973,,13.750568499999986,5,13.786790399999973,13.786790399999973,0.02427069999998821,14.803908200000023,15.340954099999976,[0.4283854166666667],[0.04296875],[1],[0],[0],[1.5672352000000274],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
8,0,8,0,15.436955300000022,,15.351129199999946,10,15.436955300000022,15.436955300000022,0.05341929999997319,16.472729999999956,16.993821900000057,[0.28515625],[-0.33203125],[1],[0],[0],[1.5912968999999748],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
9,0,9,0,17.070074100000056,,17.005185200000028,10,17.070074100000056,17.070074100000056,0.04030479999994441,18.08683289999999,18.70697629999995,[0.1640625],[0.19401041666666666],[1],[0],[0],[1.6625917999999729],['target'],243053,001,2024-10-04_11h08.34.607,visual search task,2024.1.5,None,2024-10-04 11h08.44.348194 +0530,
