trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05449750000002496,,0.010429299999941577,5,0.05449750000002496,0.05449750000002496,0.03552170000011756,1.0884753000000273,2.7954247999998643,[-0.20703125],[0.02734375],[1],[0],[0],[2.75501179999992],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
1,0,1,0,2.854811199999858,,2.8091517000000295,5,2.854811199999858,2.854811199999858,0.025612899999941874,3.871757099999968,4.407373399999869,[0.036458333333333336],[-0.09635416666666667],[1],[0],[0],[1.573707400000103],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
2,0,2,0,4.4563601999998355,,4.417851299999938,5,4.4563601999998355,4.4563601999998355,0.027227499999980864,5.505115700000033,6.0084499999998116,[-0.2643229166666667],[0.2669270833333333],[1],[0],[0],[1.5646423999999115],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
3,0,3,0,6.121149599999853,,6.018463499999825,10,6.121149599999853,6.121149599999853,0.06949969999982386,7.138434999999845,7.391206000000011,[-0.2877604166666667],[0.18229166666666666],[1],[0],[0],[1.3050181000000975],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
4,0,4,0,7.438067499999988,,7.39536709999993,5,7.438067499999988,7.438067499999988,0.01776390000009087,8.471476400000029,8.775200699999914,[-0.21875],[0.375],[1],[0],[0],[1.3619790999998713],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
5,0,5,0,8.85460349999994,,8.785544699999946,10,8.85460349999994,8.85460349999994,0.04621359999987362,9.871282099999917,10.705845699999827,[0.24609375],[-0.12369791666666667],[1],[0],[0],[1.8757823999999346],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
6,0,6,0,10.754400000000032,,10.711283200000025,5,10.754400000000032,10.754400000000032,0.01995349999992868,11.78819899999985,12.290887099999964,[-0.22395833333333334],[0.15364583333333334],[1],[0],[0],[1.5599732999999105],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
7,0,7,0,12.370892599999934,,12.301127799999904,10,12.370892599999934,12.370892599999934,0.045649800000092,13.390005199999905,14.056977499999903,[-0.4322916666666667],[-0.31640625],[1],[0],[0],[1.7117146999999022],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
8,0,8,0,14.120928999999933,,14.068172300000015,5,14.120928999999933,14.120928999999933,0.030021899999837842,15.124164099999916,15.691644900000028,[-0.018229166666666668],[0.3125],[1],[0],[0],[1.5951290000000427],[],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
9,0,9,0,15.77098819999992,,15.70222590000003,10,15.77098819999992,15.77098819999992,0.04720520000000761,16.787736600000017,17.156005499999992,[0.04296875],[-0.3229166666666667],[1],[0],[0],[1.4080821999998534],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
10,0,10,0,17.237655599999925,,17.162539100000004,10,17.237655599999925,17.237655599999925,0.052601000000095155,18.2402282999999,18.608395799999926,[0.14973958333333334],[-0.12369791666666667],[1],[0],[0],[1.3948436999999103],['target'],172101,001,2024-10-04_11h14.59.723,visual search task,2024.1.5,None,2024-10-04 11h15.07.519662 +0530,
